#	r_eq	V_0
2.23885e-008	7.69031e-023
9.72676e-008	2.95246e-021
9.41581e-008	2.86752e-021
9.99677e-008	4.63887e-021
2.50311e-008	9.27465e-023
9.83884e-008	4.62909e-021
9.62965e-008	4.42535e-021
1.03811e-007	3.78744e-021
1.00437e-007	3.28654e-021
5.59712e-009	4.23937e-024
5.59712e-009	4.0744e-024
9.231e-008	2.53135e-021
1.10108e-007	4.33354e-021
9.77495e-008	3.03513e-021
6.64621e-008	1.1091e-021
4.94324e-008	6.88848e-022
